Name,Account,Political group,Nationality
MAŇKA Vladimír,,S&D,Slovakia
MANN Thomas,,EPP,Germany
MANSCOUR Louis Joseph,@LJManscour,S&D,France,PRIVATE
MARAGALL Ernest,@ernestmaragall,Greens,Spain
MARIAS Notis,@Notis_Marias,ECR,Greece
MARINESCU Marian Jean,@MarianMarinescu,EPP,Romania
MARINHO E PINTO António,@marinhoepinto,ALDE,Portugal
MARTIN David,@davidmartinmep,S&D,UK
MARTIN Dominique,@DMartinFN,ENF,France
MARTIN Edouard,@edouardmartinEU,S&D,France
MARTUSCIELLO Fulvio,@fulviomartuscie,EPP,Italy
MARUSIK Michał,,ENF,Poland
MAŠTÁLKA Jiří,,GUE/NGL,Czech Republic
MATERA Barbara,@materabarbara,EPP,Italy
MATIAS Marisa,@mmatias_,GUE/NGL,Portugal
MATO Gabriel,@GabrielMatoA,EPP,Spain
MAULLU Stefano,@stefanomaullu,EPP,Italy
MAUREL Emmanuel,@emmanuelmaurel,S&D,France
MAVRIDES Costas,,S&D,Cyprus
MAYER Georg,@georgmayermep,ENF,Austria
MAZURONIS Valentinas,@ValentinasMazu1,ALDE,Lithuania
McALLISTER David,@davidmcallister,EPP,Germany
McAVAN Linda,@LindaMcAvanMEP,S&D,UK
McCLARKIN Emma,@EmmaMcClarkin,ECR,UK
McGUINNESS Mairead,@MaireadMcGMEP,EPP,Ireland
McINTYRE Anthea,@anthea_mcintyre,ECR,UK
MEISSNER Gesine,@gesine_meissner,ALDE,Germany
MÉLENCHON Jean Luc,@JLMelenchon,GUE/NGL,France
MÉLIN Joëlle,@JoelleMelinFN,ENF,France
MELIOR Susanne,,S&D,Germany
MELO Nuno,@NunoMeloCDS,EPP,Portugal
MESSERSCHMIDT Morten,@MrMesserschmidt,ECR,Denmark
MESZERICS Tamás,@MeszericsT,Greens,Hungary
METSOLA Roberta,@RobertaMetsola,EPP,Malta
MICHEL Louis,@LouisMichel,ALDE,Belgium
MICHELS Martina,@martina_michels,GUE/NGL,Germany
MIHAYLOVA Iskra,,ALDE,Bulgaria
MIKOLÁŠIK Miroslav,@miromikolasik,EPP,Slovakia
MILLÁN MON Francisco José,,EPP,Spain
MILTENBURG Matthijs van,@MatthijsvMilt,ALDE,Netherlands
MINEUR Anne Marie,@AnneMarieMineur,GUE/NGL,Netherlands
MIZZI Marlene,@MarleneMizzi,S&D,Malta
MLINAR Angelika,@AngelikaMlinar,ALDE,Austria
MOI Giulia,@GiuliaMoi_M5S,EFDD,Italy
MOISĂ Sorin,@sorinmoisa,S&D,Romania
MOLNÁR Csaba,,S&D,Hungary
MONOT Bernard,@bernard_monot,ENF,France
MONTEIRO DE AGUIAR Cláudia,@cmonteiroaguiar,EPP,Portugal
MONTEL Sophie,@Sophie_Montel,ENF,France
MOODY Clare,@ClareMoodyMEP,S&D,UK
MORAES Claude,@ClaudeMoraesMEP,S&D,UK
MORANO Nadine,@nadine__morano,EPP,France
MORGANO Luigi,@luigi_morgano,S&D,Italy
MORIN CHARTIER Elisabeth,@emorinchartier,EPP,France
MORVAI Krisztina,,NI (Jobbik Magyarorszagert Mozgalom),Hungary
MOSCA Alessia Maria,@alessiamosca,S&D,Italy
MÜLLER Ulrike,@UliMuellerMdEP,ALDE,Germany
MUREȘAN Siegfried,@SMuresan,EPP,Romania
MUSELIER Renaud,@RenaudMuselier,EPP,France
MUSSOLINI Alessandra,@Ale_Mussolini_,EPP,Italy
NAGY József,@NagyJozsefEU,EPP,Slovakia
NART Javier,,ALDE,Spain
NEGRESCU Victor,@negrescuvictor,S&D,Romania
NEKOV Momchil,@momchilnekov,S&D,Bulgaria
NEUSER Norbert,,S&D,Germany
NÍ RIADA Liadh,@LiadhNiRiadaMEP,GUE/NGL,Ireland
NICA Dan,,S&D,Romania
NICHOLSON James,@JNicholsonMEP,ECR,UK
NICOLAI Norica,@Norica_Nicolai,ALDE,Romania
NIEBLER Angelika,@ANiebler,EPP,Germany
NIEDERMAYER Luděk,@LudekNie,EPP,Czech Republic
NIEDERMÜLLER Péter,@NiedermullerMEP,S&D,Hungary
NIEUWENHUIZEN Cora van,@CvNieuwenhuizen,ALDE,Netherlands
NILSSON Jens,@jensni,S&D,Sweden
